movie_id,genre,runtime_minutes,budget_millions,sequel,opening_weekend_millions,box_office_millions,rating_1to10
4114,Comedy,123.62,25.6,No,0.5,54.97,6.91
4115,Sci-Fi,134.73,39.33,No,22.59,66.65,6.21
4116,Romance,109.4,40.23,No,0.5,37.44,5.84
4117,Comedy,95.39,74.89,No,40.17,121.9,6.72
4118,Romance,118.4,14.49,No,9.6,1.0,5.86
4119,Drama,113.47,15.87,Yes,0.5,50.66,7.52
4120,Horror,119.87,15.01,No,7.66,23.15,6.58
4121,Action,150.45,44.12,No,0.72,85.92,6.05
4122,Action,110.74,15.11,No,17.85,57.34,6.58
4123,Sci-Fi,123.36,20.45,No,7.48,32.16,6.47
4124,Horror,92.29,25.23,No,8.04,8.96,5.43
4125,Comedy,110.61,13.33,No,36.81,69.94,7.75
4126,Romance,101.75,50.31,Yes,33.35,89.34,7.42
4127,Thriller,104.6,35.42,No,27.09,74.87,6.99
4128,Comedy,126.61,13.66,Yes,1.67,61.22,7.38
4129,Action,137.9,114.95,Yes,59.27,212.59,7.2
4130,Drama,109.1,17.74,Yes,19.26,89.38,7.38
4131,Thriller,98.43,15.34,Yes,23.65,66.03,7.05
4132,Horror,136.72,37.32,No,18.53,17.35,6.9
4133,Comedy,80.29,41.6,No,32.88,57.0,4.5
4134,Animation,120.07,42.62,Yes,52.31,179.51,7.04
4135,Thriller,111.29,30.18,No,15.8,58.91,4.73
4136,Drama,151.84,5.23,No,0.5,1.0,6.98
4137,Action,116.77,20.33,No,39.52,73.73,6.82
4138,Drama,109.92,54.04,No,25.08,44.25,6.59
4139,Comedy,98.39,17.41,No,15.91,67.02,5.8
4140,Drama,142.62,27.67,No,0.5,12.64,6.42
4141,Thriller,139.81,17.44,No,14.88,42.7,6.33
4142,Action,139.04,24.37,No,5.43,44.26,4.95
4143,Action,101.47,72.96,No,28.19,127.53,5.9
4144,Horror,149.14,9.4,No,9.73,18.0,5.3
4145,Sci-Fi,140.74,17.67,No,27.68,62.42,6.77
4146,Action,77.69,16.06,No,25.88,41.69,5.9
4147,Romance,116.86,19.14,No,0.5,1.0,7.95
4148,Horror,107.82,17.64,No,18.61,50.21,5.67
4149,Animation,132.68,14.21,No,15.39,102.13,7.86
4150,Drama,136.8,26.73,No,0.5,1.0,6.03
4151,Horror,128.16,22.8,No,0.5,16.41,5.43
4152,Sci-Fi,119.44,21.07,No,10.0,58.21,5.42
4153,Drama,104.64,49.29,No,8.47,14.27,5.62
4154,Romance,128.01,29.73,Yes,3.44,61.46,6.86
4155,Action,104.12,22.69,No,29.35,77.86,7.76
4156,Drama,123.62,37.26,No,3.59,96.68,7.98
4157,Action,114.16,40.84,Yes,16.91,68.39,5.65
4158,Drama,155.99,14.21,No,1.1,1.0,7.35
4159,Drama,157.96,12.38,No,3.57,1.0,7.08
4160,Thriller,114.63,22.22,No,10.29,51.77,5.86
4161,Drama,124.39,33.24,Yes,0.5,31.37,6.56
4162,Sci-Fi,115.53,24.21,Yes,30.81,79.26,5.39
4163,Romance,115.46,44.12,No,27.09,66.16,5.25
4164,Sci-Fi,127.52,33.16,No,36.98,124.85,6.75
4165,Horror,116.48,23.1,No,3.68,73.09,6.23
4166,Action,141.41,21.75,No,28.52,92.87,5.91
4167,Thriller,94.3,21.84,No,0.5,1.0,5.79
4168,Action,161.99,22.62,Yes,69.45,199.9,6.02
4169,Comedy,110.67,31.87,No,10.32,51.07,6.51
4170,Thriller,128.84,19.13,No,0.5,49.63,4.42
4171,Comedy,90.66,42.28,No,33.34,57.5,5.29
4172,Romance,118.91,24.5,No,0.5,64.46,6.03
4173,Horror,115.49,11.0,No,19.4,56.09,5.68
4174,Comedy,119.95,95.01,No,6.86,65.09,7.39
4175,Thriller,107.08,40.24,No,3.87,63.61,6.07
4176,Animation,98.32,26.41,No,17.65,52.59,7.98
4177,Comedy,98.9,51.1,No,0.5,1.0,5.7
4178,Animation,95.75,28.37,No,0.5,42.61,5.49
4179,Romance,133.11,15.97,No,44.67,8.5,7.06
4180,Horror,134.39,10.77,No,2.79,27.92,5.83
4181,Comedy,101.01,46.14,Yes,19.12,80.39,6.76
4182,Sci-Fi,101.14,25.87,No,16.9,107.52,6.31
4183,Horror,124.89,84.3,No,17.92,64.96,4.81
4184,Action,137.65,27.58,No,11.57,46.71,6.51
4185,Horror,99.4,14.33,No,38.8,106.47,6.8
4186,Action,145.54,10.56,Yes,23.57,76.06,6.26
4187,Romance,98.65,14.38,No,5.89,1.0,6.15
4188,Comedy,104.25,38.85,Yes,37.2,96.06,5.96
4189,Comedy,76.69,39.27,No,6.63,66.18,6.32
4190,Sci-Fi,98.97,34.08,No,26.86,72.86,6.68
4191,Horror,113.33,10.81,No,0.5,8.15,5.06
4192,Drama,138.07,26.2,No,0.5,45.1,7.76
4193,Action,122.38,44.93,No,6.61,94.87,6.3
4194,Action,104.94,16.15,Yes,20.16,112.09,5.27
4195,Thriller,118.9,15.61,No,23.29,22.39,6.37
4196,Comedy,118.7,50.37,Yes,8.26,101.66,5.87
4197,Comedy,111.75,21.87,Yes,14.49,107.04,5.87
4198,Animation,95.11,42.02,No,17.77,52.81,5.2
4199,Horror,96.11,20.35,Yes,11.95,8.15,5.71
4200,Horror,121.0,44.89,No,34.31,88.75,5.18
4201,Animation,75.24,10.92,Yes,14.06,44.4,5.89
4202,Romance,92.73,5.61,No,10.37,89.68,6.66
4203,Sci-Fi,149.15,6.86,No,11.77,30.95,7.77
4204,Drama,132.91,31.64,No,7.15,36.34,6.52
4205,Sci-Fi,108.66,17.2,No,17.41,60.02,6.49
4206,Drama,154.16,8.05,Yes,0.5,1.0,6.22
4207,Thriller,106.96,11.15,No,12.98,20.11,6.13
4208,Comedy,93.59,35.16,No,8.1,92.51,5.19
4209,Animation,97.8,26.94,No,10.37,51.16,6.05
4210,Action,130.43,14.27,No,20.92,110.54,5.65
4211,Thriller,109.02,34.64,No,9.79,27.38,5.34
4212,Horror,128.97,85.85,No,18.02,96.67,6.99
4213,Drama,101.64,14.55,No,15.12,27.35,5.41
4214,Action,121.73,35.38,No,37.67,108.05,6.44
4215,Thriller,133.8,27.54,No,32.89,70.27,5.13
4216,Thriller,95.68,11.11,Yes,21.93,34.27,4.93
4217,Drama,117.65,10.43,No,19.84,42.63,8.02
4218,Horror,86.7,16.67,Yes,35.94,53.75,6.03
4219,Animation,117.99,13.0,No,16.18,78.73,5.41
4220,Drama,102.15,21.46,Yes,7.29,41.26,7.46
