bill_amount,tip_amount,day,time,party_size,smoker,gender,tip_rate
68.09,16.39,Sat,Dinner,6,No,Female,0.2407
23.95,4.04,Sun,Dinner,3,No,Female,0.1688
53.21,7.75,Fri,Dinner,3,Yes,Male,0.1456
32.57,5.68,Sun,Lunch,3,No,Female,0.1744
45.62,9.52,Thu,Dinner,3,No,Female,0.2086
32.81,6.79,Sun,Dinner,5,No,Male,0.207
75.22,14.79,Sat,Dinner,6,Yes,Male,0.1967
49.55,9.01,Thu,Dinner,6,No,Female,0.1818
24.22,4.18,Fri,Lunch,4,Yes,Male,0.1728
62.74,11.64,Sat,Dinner,3,Yes,Male,0.1854
25.09,3.83,Sat,Lunch,4,No,Male,0.1526
50.64,9.93,Sun,Dinner,3,Yes,Female,0.1961
30.24,5.76,Thu,Lunch,2,No,Male,0.1905
17.55,2.84,Sat,Lunch,3,No,Male,0.1618
38.4,6.83,Sun,Dinner,1,No,Female,0.1777
22.24,4.11,Sun,Dinner,4,Yes,Male,0.1847
56.97,9.89,Fri,Lunch,5,No,Female,0.1736
21.24,3.14,Sun,Dinner,5,No,Male,0.1481
68.42,11.58,Thu,Dinner,2,No,Female,0.1692
41.34,7.04,Thu,Dinner,4,Yes,Female,0.1704
32.69,6.17,Sat,Lunch,6,No,Male,0.1886
59.5,7.69,Sun,Dinner,3,Yes,Female,0.1293
33.87,5.71,Thu,Dinner,5,No,Male,0.1685
23.67,3.92,Sun,Lunch,1,No,Female,0.1656
26.86,4.9,Fri,Dinner,4,Yes,Male,0.1826
81.35,17.2,Thu,Dinner,3,No,Female,0.2114
29.1,4.31,Sat,Dinner,2,No,Female,0.1482
59.03,10.32,Sun,Lunch,3,No,Female,0.1748
21.42,2.89,Thu,Lunch,5,Yes,Female,0.1349
47.57,9.84,Thu,Dinner,5,No,Male,0.2069
42.33,8.44,Fri,Dinner,2,No,Male,0.1993
51.99,10.02,Sat,Dinner,1,No,Male,0.1927
39.0,6.44,Fri,Dinner,2,No,Female,0.1651
36.71,6.14,Thu,Dinner,3,No,Female,0.1674
29.27,4.68,Sun,Lunch,2,Yes,Female,0.1598
37.07,6.29,Fri,Dinner,4,Yes,Male,0.1698
74.64,16.6,Thu,Dinner,4,Yes,Female,0.2224
45.44,7.93,Fri,Lunch,6,Yes,Male,0.1745
24.79,5.27,Sat,Dinner,6,No,Female,0.2127
39.31,6.06,Thu,Dinner,1,Yes,Male,0.1541
72.99,16.13,Sun,Dinner,4,No,Male,0.2209
23.28,4.69,Fri,Dinner,7,No,Male,0.2015
57.74,10.98,Thu,Dinner,4,Yes,Male,0.1901
51.46,11.24,Fri,Dinner,3,Yes,Female,0.2184
37.05,6.26,Fri,Lunch,3,No,Female,0.1691
12.18,1.65,Thu,Lunch,2,No,Female,0.1358
20.93,3.09,Sun,Lunch,6,No,Male,0.1474
29.57,5.11,Fri,Dinner,4,No,Male,0.1728
25.36,4.3,Thu,Dinner,4,Yes,Female,0.1694
43.62,9.05,Fri,Dinner,3,Yes,Female,0.2075
25.65,4.31,Fri,Lunch,3,No,Male,0.1681
21.58,2.52,Sat,Dinner,1,Yes,Male,0.1167
24.87,4.12,Fri,Dinner,4,Yes,Male,0.1658
31.68,5.01,Thu,Lunch,2,Yes,Female,0.1583
24.06,4.72,Fri,Dinner,1,Yes,Female,0.1963
43.8,8.84,Sat,Lunch,5,No,Female,0.2018
58.35,8.51,Sat,Dinner,4,No,Male,0.1458
17.07,2.83,Fri,Lunch,5,No,Male,0.1657
78.66,14.18,Thu,Lunch,1,No,Female,0.1803
52.66,9.76,Sun,Dinner,3,No,Female,0.1853
30.11,5.58,Sat,Dinner,6,No,Female,0.1854
22.75,3.96,Fri,Dinner,1,No,Female,0.1739
40.41,8.02,Thu,Lunch,4,Yes,Male,0.1985
37.42,6.32,Thu,Dinner,2,Yes,Female,0.1689
30.25,5.08,Thu,Lunch,5,No,Female,0.168
43.98,7.89,Sun,Dinner,1,Yes,Male,0.1793
49.68,10.13,Sat,Dinner,5,Yes,Female,0.2038
20.13,3.48,Fri,Dinner,5,No,Male,0.1728
12.11,1.84,Sat,Lunch,4,Yes,Male,0.1518
23.26,4.05,Sun,Lunch,6,No,Male,0.174
38.3,7.24,Sat,Lunch,3,No,Male,0.1891
77.56,15.3,Sun,Dinner,6,No,Male,0.1972
19.4,4.45,Sat,Dinner,6,No,Female,0.2295
10.58,1.63,Sun,Dinner,5,Yes,Male,0.1537
45.38,7.29,Fri,Dinner,4,No,Male,0.1607
47.1,7.69,Fri,Dinner,2,Yes,Male,0.1633
29.84,6.05,Sat,Dinner,4,No,Male,0.2029
112.46,21.4,Fri,Lunch,2,Yes,Female,0.1903
42.2,9.11,Fri,Dinner,5,Yes,Male,0.2158
29.11,5.08,Fri,Dinner,5,No,Male,0.1745
37.22,6.28,Sat,Dinner,3,No,Male,0.1687
36.78,6.77,Sun,Dinner,2,No,Male,0.1841
26.97,3.68,Sat,Lunch,5,Yes,Male,0.1364
56.05,11.41,Thu,Dinner,3,Yes,Female,0.2035
29.46,4.95,Thu,Lunch,2,Yes,Female,0.168
58.51,12.09,Thu,Dinner,8,Yes,Male,0.2067
17.69,3.01,Sun,Dinner,3,No,Male,0.17
49.74,10.27,Sun,Dinner,5,No,Female,0.2064
32.69,5.34,Sun,Lunch,2,No,Female,0.1633
17.73,2.86,Fri,Dinner,2,No,Male,0.1615
12.51,2.13,Sun,Lunch,2,No,Female,0.1703
34.71,6.19,Thu,Dinner,2,No,Female,0.1782
66.91,14.19,Fri,Dinner,3,No,Male,0.2121
32.34,6.03,Thu,Dinner,4,No,Female,0.1866
45.64,6.51,Sun,Dinner,4,No,Male,0.1427
56.77,10.66,Sat,Lunch,4,No,Male,0.1878
83.05,14.98,Sun,Dinner,2,Yes,Female,0.1803
28.27,5.67,Sun,Dinner,4,No,Female,0.2007
63.33,11.45,Sat,Dinner,1,Yes,Male,0.1809
70.57,14.87,Sat,Dinner,2,Yes,Male,0.2107
60.81,10.45,Thu,Dinner,3,Yes,Male,0.1718
41.56,7.54,Thu,Lunch,5,No,Female,0.1814
76.91,15.93,Sun,Dinner,2,Yes,Male,0.2071
41.33,7.13,Sun,Dinner,3,No,Female,0.1726
50.86,10.08,Thu,Lunch,4,Yes,Female,0.1981
10.97,1.61,Sun,Lunch,2,No,Female,0.1473
47.2,9.69,Sun,Lunch,2,Yes,Female,0.2053
31.71,5.3,Thu,Dinner,2,Yes,Female,0.167
41.88,6.67,Sat,Dinner,3,No,Male,0.1592
43.46,7.3,Sun,Dinner,2,Yes,Female,0.1679
51.66,9.48,Sat,Dinner,4,No,Male,0.1835
14.49,2.49,Thu,Dinner,3,Yes,Male,0.1718
27.3,4.09,Sat,Dinner,1,Yes,Female,0.1498
56.64,11.3,Thu,Dinner,7,Yes,Male,0.1995
43.26,8.39,Sun,Dinner,5,No,Male,0.1939
27.66,4.63,Thu,Dinner,5,Yes,Female,0.1673
60.51,12.08,Sat,Dinner,2,Yes,Male,0.1996
49.97,8.23,Fri,Dinner,4,No,Female,0.1648
47.8,8.24,Sun,Dinner,3,Yes,Female,0.1724
52.69,10.7,Sat,Dinner,3,No,Male,0.2032
11.19,1.74,Fri,Lunch,3,Yes,Male,0.1552
27.03,4.97,Sun,Dinner,5,Yes,Male,0.184
34.48,6.05,Sat,Dinner,4,No,Male,0.1754
29.14,5.16,Fri,Dinner,8,No,Male,0.1771
34.64,6.23,Sun,Lunch,2,No,Male,0.1799
47.68,9.39,Sat,Dinner,5,Yes,Female,0.1969
36.62,6.89,Thu,Dinner,4,No,Male,0.1882
37.07,6.63,Sun,Dinner,5,No,Male,0.1788
26.07,4.43,Fri,Dinner,4,No,Male,0.1699
42.67,6.4,Sat,Lunch,4,No,Female,0.1501
43.98,8.28,Sat,Dinner,5,Yes,Female,0.1883
27.26,5.34,Sat,Dinner,2,No,Female,0.1959
54.11,11.43,Thu,Dinner,5,No,Male,0.2112
13.88,1.96,Sat,Dinner,2,Yes,Female,0.1409
21.0,3.8,Sun,Dinner,6,No,Male,0.1811
29.96,5.53,Fri,Dinner,3,No,Male,0.1846
25.8,3.89,Sat,Lunch,2,Yes,Male,0.1507
45.67,9.06,Fri,Dinner,5,Yes,Male,0.1985
26.93,3.33,Sat,Lunch,2,No,Male,0.1238
58.28,10.09,Fri,Dinner,6,Yes,Female,0.1732
67.87,13.53,Sun,Lunch,3,No,Female,0.1994
38.51,6.43,Sat,Lunch,3,No,Female,0.1669
37.87,8.01,Sun,Dinner,6,No,Female,0.2114
68.98,11.96,Thu,Lunch,4,No,Male,0.1734
21.14,3.94,Fri,Dinner,2,No,Male,0.1862
37.28,6.39,Sat,Dinner,2,Yes,Male,0.1715
73.07,13.18,Sat,Dinner,4,No,Male,0.1804
39.06,6.68,Sat,Lunch,8,No,Female,0.1711
48.72,7.36,Sat,Dinner,3,Yes,Male,0.1512
23.42,3.93,Sat,Dinner,3,Yes,Female,0.1678
42.63,7.86,Sat,Dinner,2,Yes,Male,0.1844
47.34,10.49,Thu,Dinner,2,Yes,Female,0.2217
36.47,7.49,Sat,Lunch,5,Yes,Female,0.2053
35.88,6.23,Fri,Dinner,2,Yes,Female,0.1736
55.25,10.21,Thu,Dinner,3,No,Male,0.1847
26.85,4.7,Fri,Dinner,3,No,Male,0.1751
40.55,9.26,Sat,Dinner,5,No,Female,0.2283
30.79,5.24,Sat,Lunch,4,No,Female,0.1701
9.52,1.38,Sun,Lunch,4,Yes,Male,0.1453
33.1,4.85,Thu,Lunch,2,No,Female,0.1464
17.08,2.17,Sat,Lunch,5,Yes,Female,0.1273
47.07,7.86,Fri,Lunch,4,Yes,Male,0.1669
25.93,3.56,Thu,Lunch,5,No,Female,0.1373
48.5,9.68,Fri,Dinner,3,No,Female,0.1995
44.45,6.9,Sun,Lunch,2,Yes,Female,0.1552
31.58,5.81,Sat,Dinner,4,No,Female,0.184
30.91,5.57,Fri,Lunch,3,No,Female,0.1802
45.28,9.09,Sun,Lunch,3,No,Male,0.2007
49.82,10.14,Sat,Dinner,3,Yes,Female,0.2034
51.05,10.13,Sat,Dinner,2,Yes,Female,0.1985
23.09,4.02,Sun,Lunch,4,Yes,Male,0.1741
51.07,8.53,Sat,Dinner,2,No,Male,0.167
23.66,4.13,Sun,Dinner,6,No,Male,0.1747
24.57,3.77,Sun,Dinner,4,No,Male,0.1533
26.68,4.76,Fri,Lunch,5,Yes,Female,0.1784
48.22,9.04,Thu,Lunch,4,Yes,Female,0.1874
33.16,6.56,Sat,Dinner,4,No,Female,0.1978
40.2,7.61,Fri,Dinner,5,No,Male,0.1893
21.9,4.79,Fri,Dinner,6,No,Female,0.2187
34.73,6.31,Fri,Dinner,5,No,Female,0.1816
60.98,8.93,Sat,Lunch,4,Yes,Male,0.1465
