student_id,grade_level,activities,absences,tardies,homework_completion_pct,test_average_pct
6049,9,None,5,4,65.24,72.93
6050,9,2+ Clubs/Sports,9,3,87.24,55.9
6051,10,1 Club/Sport,4,5,81.37,73.98
6052,12,2+ Clubs/Sports,5,3,84.72,67.38
6053,11,2+ Clubs/Sports,8,2,67.37,61.13
6054,10,None,4,1,88.54,78.89
6055,9,None,6,6,94.76,77.66
6056,10,2+ Clubs/Sports,1,4,86.6,78.98
6057,12,None,4,2,80.29,90.76
6058,12,1 Club/Sport,3,5,100.0,88.19
6059,10,None,4,2,93.75,87.24
6060,10,1 Club/Sport,4,1,80.42,47.85
6061,10,1 Club/Sport,2,4,81.86,81.64
6062,9,2+ Clubs/Sports,3,5,77.37,44.14
6063,9,2+ Clubs/Sports,4,5,90.95,79.45
6064,9,None,5,4,75.17,65.08
6065,10,1 Club/Sport,9,5,60.77,40.53
6066,11,1 Club/Sport,4,4,90.8,56.66
6067,11,1 Club/Sport,5,2,94.45,70.45
6068,11,1 Club/Sport,2,2,80.23,92.9
6069,9,None,5,2,92.87,86.75
6070,12,2+ Clubs/Sports,7,3,74.83,67.06
6071,10,1 Club/Sport,4,2,83.21,80.42
6072,10,1 Club/Sport,2,5,79.74,85.08
6073,10,None,9,2,51.33,50.34
6074,9,None,2,1,91.49,60.61
6075,11,None,4,3,73.16,75.59
6076,11,1 Club/Sport,2,2,78.41,89.99
6077,12,1 Club/Sport,4,2,80.46,84.37
6078,9,None,5,3,53.02,61.16
6079,10,1 Club/Sport,4,2,72.38,67.72
6080,11,None,2,3,80.58,73.88
6081,9,1 Club/Sport,3,3,94.11,79.54
6082,9,None,2,2,83.2,80.2
6083,10,1 Club/Sport,2,1,78.48,97.27
6084,10,None,4,2,80.21,67.95
6085,12,None,1,2,89.94,83.38
6086,9,1 Club/Sport,2,4,95.07,74.16
6087,11,1 Club/Sport,3,3,74.89,81.86
6088,11,2+ Clubs/Sports,8,3,69.0,75.37
6089,12,1 Club/Sport,4,3,97.13,83.73
6090,10,None,5,2,92.04,57.69
6091,10,None,3,4,82.43,81.82
6092,9,None,3,1,81.15,87.81
6093,10,None,1,4,68.13,66.91
6094,12,2+ Clubs/Sports,8,2,76.59,83.51
6095,9,None,4,5,61.04,56.46
6096,10,1 Club/Sport,2,1,97.43,91.77
6097,11,None,2,3,88.3,85.81
6098,11,1 Club/Sport,7,1,75.24,79.21
6099,11,1 Club/Sport,6,1,77.73,72.39
6100,11,None,6,2,92.46,54.01
6101,12,None,3,5,81.99,68.63
6102,10,None,0,5,96.99,72.33
6103,11,1 Club/Sport,7,4,76.55,74.28
6104,10,None,5,5,79.61,72.01
6105,10,1 Club/Sport,5,2,78.85,85.21
6106,12,1 Club/Sport,6,2,75.01,47.65
6107,12,None,4,3,74.72,67.51
6108,12,1 Club/Sport,8,1,82.59,72.36
6109,9,1 Club/Sport,4,2,76.06,75.9
6110,11,1 Club/Sport,3,3,83.48,61.55
6111,11,1 Club/Sport,3,2,86.32,63.35
6112,12,None,3,3,73.97,77.31
6113,9,None,2,3,69.26,91.52
6114,10,None,2,4,87.59,77.1
6115,10,None,1,1,83.98,91.09
6116,12,None,5,6,84.87,67.57
6117,9,1 Club/Sport,2,3,76.73,49.85
6118,10,1 Club/Sport,2,4,73.09,65.09
6119,9,1 Club/Sport,6,1,51.82,66.61
6120,12,1 Club/Sport,2,3,85.55,68.61
6121,10,None,2,0,61.87,61.63
6122,10,1 Club/Sport,8,3,72.94,58.64
6123,9,None,6,4,79.09,71.53
6124,11,2+ Clubs/Sports,6,2,82.27,72.25
6125,11,2+ Clubs/Sports,6,3,74.4,75.68
6126,12,1 Club/Sport,2,3,96.32,82.85
6127,10,1 Club/Sport,4,5,82.96,83.79
6128,9,1 Club/Sport,5,8,81.22,74.58
6129,10,None,9,4,75.62,58.11
6130,10,None,4,2,78.31,51.71
6131,11,2+ Clubs/Sports,6,3,80.68,75.22
6132,11,None,5,2,90.61,79.15
6133,9,1 Club/Sport,3,2,93.3,78.43
6134,11,2+ Clubs/Sports,2,4,85.05,65.74
6135,9,None,2,0,97.55,80.97
6136,10,1 Club/Sport,2,2,100.0,100.0
6137,11,1 Club/Sport,4,5,85.39,74.39
6138,10,None,5,3,96.43,69.72
6139,10,2+ Clubs/Sports,4,5,80.49,70.54
6140,9,1 Club/Sport,1,2,75.96,82.51
6141,9,1 Club/Sport,4,5,97.47,84.67
6142,11,2+ Clubs/Sports,6,1,81.97,76.39
6143,11,None,7,3,65.21,64.05
6144,10,2+ Clubs/Sports,5,4,62.7,33.71
6145,12,1 Club/Sport,3,4,63.37,75.76
6146,9,None,2,3,79.72,47.31
6147,12,1 Club/Sport,1,6,88.02,65.21
6148,9,None,3,2,81.34,85.07
6149,11,None,4,4,79.15,66.55
6150,10,1 Club/Sport,4,2,78.28,64.24
6151,12,1 Club/Sport,8,4,94.56,62.27
6152,11,None,7,3,90.96,93.29
6153,11,None,2,4,72.71,78.59
6154,9,1 Club/Sport,4,4,78.14,71.81
6155,12,None,3,4,87.42,80.8
6156,12,1 Club/Sport,4,4,81.24,77.19
6157,10,None,4,2,100.0,47.06
6158,9,1 Club/Sport,1,0,95.16,74.22
6159,10,None,4,3,64.65,84.1
6160,10,1 Club/Sport,3,3,99.34,64.04
6161,10,2+ Clubs/Sports,5,2,79.41,72.59
6162,10,1 Club/Sport,4,7,100.0,67.54
6163,10,None,6,1,92.86,78.53
6164,9,1 Club/Sport,3,0,84.14,72.88
6165,9,None,5,5,72.55,56.0
6166,10,2+ Clubs/Sports,3,1,100.0,80.54
6167,11,None,2,5,71.97,59.95
6168,11,1 Club/Sport,4,3,86.4,68.31
6169,9,2+ Clubs/Sports,7,4,63.17,40.22
6170,10,2+ Clubs/Sports,5,4,90.32,56.5
6171,12,1 Club/Sport,8,3,69.31,55.39
6172,9,None,3,3,79.67,98.25
6173,12,None,3,4,88.32,70.35
6174,11,1 Club/Sport,4,5,91.96,86.15
6175,10,2+ Clubs/Sports,7,1,87.32,70.34
6176,11,None,3,2,71.51,70.97
6177,9,1 Club/Sport,2,5,78.78,75.18
6178,12,2+ Clubs/Sports,6,6,75.34,74.98
6179,12,1 Club/Sport,4,7,77.07,67.84
6180,9,2+ Clubs/Sports,2,2,87.19,78.77
