listing_id,neighborhood,bedrooms,bathrooms,square_feet,age_years,distance_to_city_miles,garage,price_usd
5090,Central,2,1.32,1199.38,35.82,0.2,Yes,466950.24
5091,South,2,1.96,1515.52,27.51,8.07,Yes,392054.57
5092,East,1,1.0,1298.91,62.95,8.02,Yes,267591.04
5093,Central,3,1.89,1698.42,23.84,5.18,Yes,575427.01
5094,North,3,3.01,1975.77,47.88,5.27,Yes,548327.47
5095,Central,2,1.9,1376.49,23.28,2.49,Yes,480680.13
5096,North,3,2.47,1886.35,18.22,4.7,Yes,554019.62
5097,West,4,3.21,2747.52,36.95,10.06,No,728170.7
5098,South,3,2.38,2121.58,19.13,10.81,No,502599.81
5099,North,2,1.15,1557.83,0.0,0.44,No,471654.57
5100,North,4,4.29,2557.18,51.57,5.52,Yes,717532.58
5101,North,1,1.25,1150.09,51.06,12.71,No,245461.05
5102,East,2,1.51,1497.03,26.42,4.23,Yes,398956.69
5103,North,1,1.0,1297.44,3.99,5.24,Yes,398543.33
5104,Central,4,2.58,2213.38,52.05,7.7,Yes,705886.59
5105,East,2,2.8,1745.1,22.68,6.97,Yes,437837.38
5106,South,2,1.0,1567.34,14.47,10.71,No,330399.58
5107,East,2,2.83,1210.54,32.31,9.96,No,256324.32
5108,West,2,1.59,2035.94,27.95,8.28,No,534854.24
5109,South,3,1.78,2386.17,20.17,9.69,No,521652.3
5110,North,2,1.2,1536.95,46.2,9.36,Yes,387973.52
5111,North,3,3.38,2218.27,59.16,7.79,No,566318.16
5112,North,4,3.77,2366.39,35.85,7.12,Yes,724173.27
5113,Central,3,2.22,2069.81,36.53,9.41,No,655125.04
5114,North,3,2.07,1992.73,30.9,1.23,No,578943.99
5115,South,3,3.4,2165.3,56.4,7.42,Yes,544531.17
5116,South,4,2.77,2445.21,36.04,9.99,Yes,572199.68
5117,South,2,1.61,1226.62,23.18,10.96,Yes,313905.22
5118,Central,3,1.83,1673.28,18.48,8.21,No,547128.94
5119,South,4,4.03,2594.37,0.0,10.56,No,625133.2
5120,South,1,1.0,1062.61,9.12,11.6,No,187312.71
5121,East,2,1.93,1672.86,29.48,6.92,No,404251.26
5122,Central,3,2.93,1791.95,0.0,1.32,Yes,671563.63
5123,North,2,1.96,1149.98,5.66,6.77,Yes,381671.51
5124,South,3,1.93,2173.66,34.71,9.54,No,474076.34
5125,South,3,2.7,2262.83,43.0,11.03,No,488098.03
5126,North,4,4.02,2738.91,20.32,14.28,Yes,716172.21
5127,Central,4,3.41,2794.3,26.04,5.78,Yes,908081.31
5128,South,3,3.06,2347.28,22.69,8.51,Yes,553117.44
5129,West,4,3.42,2558.67,45.58,8.16,No,749757.66
5130,West,4,3.87,2492.66,33.77,0.2,Yes,753273.56
5131,East,3,2.19,2111.81,27.64,5.6,Yes,570858.74
5132,North,4,3.27,2633.88,16.72,0.2,No,719061.69
5133,West,2,1.72,1565.32,5.05,5.64,No,472813.33
5134,Central,3,2.86,2100.16,44.21,3.84,No,673121.09
5135,South,3,2.42,2178.66,28.71,6.66,No,571743.37
5136,North,3,1.42,2062.26,35.67,4.61,No,570649.18
5137,West,2,2.25,1838.03,21.05,4.39,No,530087.63
5138,East,3,2.8,2145.53,22.38,11.21,Yes,511121.2
5139,West,3,1.71,2282.64,42.98,5.18,Yes,594651.18
5140,West,4,4.16,2419.15,51.27,7.27,No,703696.33
5141,South,2,1.96,1245.44,39.36,8.47,Yes,295491.26
5142,Central,3,3.07,1852.54,30.19,7.36,No,624680.81
5143,North,2,2.64,1618.04,42.21,7.65,Yes,466613.86
5144,West,3,1.86,2194.17,51.27,1.75,Yes,599713.88
5145,East,3,2.86,1865.59,44.54,8.09,No,441038.38
5146,South,2,2.35,1635.46,20.41,7.09,No,378151.69
5147,South,4,4.05,2655.84,38.75,8.83,Yes,690341.52
5148,East,3,2.7,1952.16,14.32,5.55,No,504549.48
5149,South,3,2.74,1884.22,36.89,8.39,No,491445.96
5150,East,3,3.25,2038.45,31.97,7.59,Yes,556284.53
5151,Central,3,2.32,1774.23,14.27,5.68,Yes,630725.52
5152,North,4,4.04,2472.18,40.56,7.29,Yes,667991.37
5153,West,3,2.63,2192.67,17.48,13.13,No,612531.77
5154,South,1,1.0,755.98,43.04,6.29,Yes,236902.69
5155,Central,2,1.15,1372.05,19.28,4.46,Yes,455191.93
5156,South,4,3.01,2586.72,30.26,5.29,Yes,643362.27
5157,East,3,2.54,1844.57,5.17,10.78,No,496565.88
5158,West,3,1.94,1859.03,17.05,4.18,Yes,539174.66
5159,East,5,4.45,3091.63,29.55,6.62,Yes,809411.98
5160,North,1,1.0,946.87,28.92,8.69,No,249144.25
5161,North,4,3.64,2564.35,32.99,6.26,Yes,701569.92
5162,North,3,2.11,2041.45,40.54,1.26,No,594306.67
5163,Central,1,1.0,1180.08,28.78,6.22,No,353950.02
5164,South,2,1.35,1833.08,1.61,9.36,Yes,409555.41
5165,West,3,2.79,2124.15,42.66,8.64,Yes,567430.88
5166,West,1,1.0,1121.33,12.86,9.04,Yes,313723.41
5167,East,3,3.05,1928.49,39.65,11.84,Yes,460841.34
5168,Central,4,4.07,2699.27,40.67,3.68,Yes,848259.17
5169,North,2,1.76,1422.76,40.85,6.32,Yes,428293.64
5170,North,3,2.91,1751.94,44.09,6.82,Yes,482683.54
5171,East,2,1.0,1379.55,39.7,6.7,Yes,347552.5
5172,North,3,2.03,2222.35,41.09,16.22,No,483469.61
5173,North,4,2.82,2680.74,43.7,5.05,Yes,712416.11
5174,West,4,3.02,3009.06,25.38,8.59,No,839763.34
5175,West,4,3.39,2586.26,49.42,5.65,No,718156.2
5176,West,3,2.29,2056.18,20.98,7.56,No,573497.87
5177,South,1,1.0,1015.7,9.56,6.69,No,250624.79
5178,Central,2,2.5,1895.61,37.63,1.6,Yes,612726.64
5179,East,3,2.72,2152.32,10.82,11.13,Yes,512011.51
5180,Central,1,1.0,920.02,31.54,0.2,No,371714.55
5181,North,2,1.19,1608.48,28.68,9.46,No,350660.49
5182,North,3,2.98,2066.7,22.01,12.75,No,504260.74
5183,South,3,2.83,2071.47,25.6,10.11,Yes,481488.21
5184,South,5,4.5,2935.4,22.58,7.62,No,739255.7
5185,North,3,2.74,2124.07,38.79,5.2,Yes,612196.5
5186,Central,4,3.6,2426.9,49.51,7.41,No,753701.77
5187,East,1,1.63,1085.15,26.58,13.69,No,230015.93
5188,East,3,2.49,2406.59,37.74,11.79,No,561107.47
5189,West,1,1.22,947.85,33.0,9.82,Yes,253887.08
5190,South,3,3.47,1952.15,38.29,9.42,Yes,481578.17
5191,East,3,2.52,2158.81,47.13,5.02,No,595251.43
5192,West,3,2.74,2183.03,16.74,7.41,Yes,581431.88
5193,West,2,1.19,1812.35,62.97,5.15,No,490969.21
5194,Central,2,1.47,1478.35,1.01,0.98,No,512347.87
5195,Central,1,1.0,1037.11,9.97,0.35,No,428594.37
5196,North,4,3.45,2451.09,53.2,3.18,Yes,681671.93
5197,North,3,1.48,1926.33,33.75,7.8,Yes,474514.38
5198,West,2,1.71,1563.59,30.47,6.16,No,434924.53
5199,South,2,1.4,1676.62,46.52,5.11,No,401003.28
5200,East,3,1.98,2133.48,26.8,13.2,No,476948.71
