student_id,gender,study_hours_per_week,sleep_hours_per_night,absences_semester,tutoring,test1_score,final_exam_score
1143,Female,5.96,7.49,4,No,74.33,70.84
1144,Female,4.03,7.82,5,Yes,80.63,77.0
1145,Male,9.59,5.97,3,Yes,77.5,69.18
1146,Female,9.08,6.79,4,No,93.89,90.55
1147,Male,3.86,8.03,3,No,76.33,79.07
1148,Male,9.09,7.19,2,No,88.07,91.56
1149,Male,9.13,6.63,4,Yes,80.85,84.6
1150,Female,6.35,6.67,7,Yes,80.72,70.37
1151,Male,5.89,7.24,2,No,70.82,70.19
1152,Female,8.02,7.66,3,No,77.37,75.29
1153,Male,11.06,5.05,2,No,79.33,73.67
1154,Male,6.38,6.24,2,No,76.49,70.19
1155,Female,3.33,7.55,3,No,68.36,55.63
1156,Male,6.91,8.75,5,Yes,71.52,73.06
1157,Female,2.33,7.35,0,No,77.18,78.82
1158,Male,8.06,8.43,1,Yes,99.67,95.83
1159,Female,3.34,6.04,2,No,77.52,81.84
1160,Male,4.98,6.34,2,No,75.94,71.97
1161,Male,6.63,8.78,1,No,74.64,62.98
1162,Male,4.45,6.69,5,No,76.45,68.03
1163,Female,9.9,7.93,2,Yes,89.81,98.03
1164,Male,10.26,7.2,1,No,87.19,91.33
1165,Female,8.47,6.81,4,Yes,90.22,85.95
1166,Female,2.96,4.4,4,Yes,75.65,76.95
1167,Female,8.35,6.29,3,No,95.27,94.19
1168,Female,5.29,7.07,6,Yes,70.57,70.97
1169,Female,7.0,6.79,1,Yes,90.25,76.91
1170,Female,3.85,6.78,2,No,74.52,70.64
1171,Female,6.07,8.36,4,No,80.12,67.51
1172,Male,5.78,6.87,4,No,76.5,74.13
1173,Male,12.41,8.6,6,No,97.28,98.63
1174,Female,8.37,5.35,3,Yes,78.33,85.29
1175,Female,11.75,8.33,3,Yes,93.38,90.61
1176,Male,4.37,5.71,3,No,70.94,77.49
1177,Male,6.96,6.76,2,No,84.58,84.32
1178,Female,12.04,8.09,3,No,89.46,96.58
1179,Female,6.94,7.11,5,No,79.48,74.02
1180,Male,4.79,5.53,3,Yes,65.23,62.23
